summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
201495595,0950625,2011-05-27 02:00:00,,Employee Fractures Arm in Conveyor Belt,"CONVEYOR,CONVEYOR BELT,FRACTURE,ARM,CAUGHT BY,LOCKOUT,MAINTENANCE",,,,,,7363,,,,2016-02-08 01:00:05.963944
200556678,0625700,2011-08-17 17:55:00,,Employee Is Killed When Knocked Into Ship's Hold,"SHIP,POOR VISIBILITY,COMMUNICATION,INATTENTION,BARGE,CAUGHT BETWEEN,COVER",,,,,,4491,X,,,2016-02-08 01:00:05.963944
202531026,0950635,2012-04-19 10:50:00,,Driver Is Run over by Own Semi Truck,"DRIVER,RUN OVER,TRUCK",,,,,,4213,X,,,2016-02-08 01:00:05.963944
201076445,0950632,2011-02-23 15:20:00,,Employee Falls and Fractures Leg,"FALL,FRACTURE,LEG,CONTUSION,FACE",,,,,,8244,,,,2016-02-08 01:00:05.963944
202654679,0950612,2013-05-14 14:00:00,,Employee Injured by Bottle Spinning Machine,"FINGER,AMPUTATED,HEALTH CARE FACILITY,STRUCK BY",,,,,,2869,,,,2016-02-08 01:00:05.963944
201023470,0950615,2011-07-26 14:21:00,,Machine Operator Suffers Finger Amputations,"CONSTRUCTION,MACHINE OPERATOR,MIXER,CAUGHT BETWEEN,CAUGHT BY,AMPUTATED,FINGER",A,2,24,B,A,1742,,,,2016-02-08 01:00:05.963944
200535276,0751910,2012-07-16 20:00:00,,Employee Receives Head Injuries While Rotating Equipment,"THREADING MACHINE,HEAD",,,,,,3354,X,,,2016-02-08 01:00:05.963944
202552766,0950631,2011-02-28 07:00:00,,Employee Dies of Natural Death,,,,,,,7999,,,,2016-02-08 01:00:05.963944
201392362,0552652,2011-05-25 19:00:00,,Employee Is Run over by Skidder and Killed,"SKIDDER,RUN OVER,LOGGING,STRUCK BY",,,,,,2411,X,,,2016-02-08 01:00:05.963944
202634036,0950633,2011-04-28 08:30:00,,Employee's Hand Is Injured When Struck by Falling Stator,"STRUCK BY,PINNED,CRUSHED,HAND,CONTUSION,ABRASION,FALLING OBJECT,SUSPENDED LOAD,INATTENTION,MECHANIC",,,,,,3677,,,,2016-02-08 01:00:05.963944
202545604,0950641,2013-04-30 09:00:00,,Employee Amputates Thumb When Skilsaw Slips,"SCAFFOLD,SAW,HAND TOOL,SLIP,HAND,AMPUTATED,THUMB",A,2,24,C,A,1751,,,,2016-02-08 01:00:05.963944
202635173,0950612,2011-11-30 16:30:00,,Employee Is Injured in Fall from Roof,"FALL PROTECTION,FALL,ROOFER,ROOF,LOST BALANCE",C,3,,B,C,1761,,,,2016-02-08 01:00:05.963944
202545430,0950641,2013-08-28 14:23:00,,Employee's Foot Is Crushed by Hydraulic Pallet Jack,"UNTRAINED,LOST CONTROL,HYDRAULIC JACK,STRUCK BY,CRUSHED,FOOT",,,,,,4225,,,,2016-02-08 01:00:05.963944
202544300,0950641,2012-10-11 02:25:00,,Employee Is Struck and Crushed by Large Metal Beam,"TRAILER,STEEL BEAM,UNSTABLE POSITION,UNSECURED,STRUCK BY,EXCAVATOR,FALLING OBJECT,CRUSHED",I,,5,G,B,1622,X,,,2016-02-08 01:00:05.963944
202556098,0950631,2012-12-13 08:30:00,,Contruction Worker Injured in Fall While Desending Ladder,"CONSTRUCTION,LADDER,FALL,FRACTURE,LACERATION",A,2,20,A,E,1542,,,,2016-02-08 01:00:05.963944
202555504,0950631,2012-08-13 13:36:00,,Employee Amputates Left Thumb in Press,"AMPUTATED,THUMB,GANTRY CRANE,PRESS,JACK,RING,JAMMED",,,,,,3399,,,,2016-02-08 01:00:05.963944
200075117,0453720,2012-08-20 09:30:00,,Employee Is Struck and Killed by Falling Tree,"AGRICULTURE,TREE FELLING,CHAIN SAW,STRUCK BY,FALLING OBJECT,TREE,HEAD",,,,,,0181,X,,,2016-02-08 01:00:05.963944
202561684,0950411,2013-05-18 17:38:00,,"Employee Is Caught Between Two Vehicles, Later Dies","FIREFIGHTER,FIRE,WATER HOSE,VEHICLE,STRUCK BY,CAUGHT BETWEEN,BACKING UP",,,,,,9224,X,,,2016-02-08 01:00:05.963944
