Table Name,Display Name,Column Name,Description,Data Type
osha_accident,Abstract Text,abstract_text,Abstract text.,"Alphanumeric, Length:80"
osha_accident,Associated SICs,sic_list,Comma separated 4-digit SICs associated with related inspections,"Alphanumeric, Length:40"
osha_accident,End Use,const_end_use,Construction - end-use (code table ENDU),"Alphanumeric, Length:1"
osha_accident,Event Date,event_date,Date of accident (yyyymmdd),"Numeric, Length=8"
osha_accident,Event Description,event_desc,Short description of event,"Alphanumeric, Length:60"
osha_accident,Event Keyword,event_keyword,Contains comma separated keywords entered by ERG during the review process.,"Alphanumeric, Length:200"
osha_accident,Event Time,event_time,Time of accident (hhmm),"Numeric, Length=8"
osha_accident,Fatality,fatality,X=Fatality is associated with accident,"Alphanumeric, Length:1"
osha_accident,Height for Non-Building,nonbuild_ht,Construction - height in feet when not a building,"Numeric, Length=4"
osha_accident,Project Cost,project_cost,Construction - project cost range (code table COST),"Alphanumeric, Length:1"
osha_accident,Project Type,project_type,Construction - project type (code table PTYP),"Alphanumeric, Length:1"
osha_accident,Reporting ID,report_id,Identifies the OSHA federal or state reporting jurisdiction,"Numeric, Length=7"
osha_accident,Stories in Building,build_stories,Construction - nr of stories in building,"Numeric, Length=4"
osha_accident,Summary NR,summary_nr,Identifies the accident OSHA-170 form,"Numeric, Length=9"
osha_accident_injury,Age,age,Age of the injured person,"Numeric, Length=2"
osha_accident_injury,Cause of Fatality,fat_cause,Construction - cause of fatality (code table CAUS),"Numeric, Length=2"
osha_accident_injury,Cause of Injury,const_op_cause,Construction - cause of injury (code table OPER),"Numeric, Length=2"
osha_accident_injury,Degree of Injury,degree_of_inj,1=Fatality. 2=Hospitalized injuries. 3=No Hospitalized injuries,"Numeric, Length=1"
osha_accident_injury,Distance of Fall,fall_distance,Construction - distance of fall (feet),"Numeric, Length=4"
osha_accident_injury,Environmental Factor,evn_factor,Environmental factor code - code table EN,"Numeric, Length=2"
osha_accident_injury,Event Type,event_type,Event type code - code table FT,"Numeric, Length=2"
osha_accident_injury,Hazardous Substance,hazsub,Hazardous substance code,"Alphanumeric, Length=4"
osha_accident_injury,Height of Person,fall_ht,Construction - height of person when fell (feet),"Numeric, Length=4"
osha_accident_injury,Human Factor,hum_factor,Human factor code - code table HU,"Numeric, Length=2"
osha_accident_injury,Injury Line Number,injury_line_nr,Injury line number - is often referenced in the abstract text to refer to a particular person.,"Numeric, Length=3"
osha_accident_injury,Nature of Injury,nature_of_inj,Nature of injury code - code table IN,"Numeric, Length=2"
osha_accident_injury,Occupation Code,occ_code,Occupation code - code table OCC,"Numeric, Length=3"
osha_accident_injury,Operation Code,const_op,Construction - operation code (code table OPER),"Numeric, Length=2"
osha_accident_injury,Part of Body,part_of_body,Part of body code - code table BD,"Numeric, Length=2"
osha_accident_injury,Related Inspection NR,rel_insp_nr,Identifies the inspection associated with investigating a particular injury,"Numeric, Length=9"
osha_accident_injury,Sex,sex,M=Male. F=Female,"Alphanumeric, Length=1"
osha_accident_injury,Source of Injury,src_of_injury,Source of injury code - code table SO,"Numeric, Length=2"
osha_accident_injury,Summary NR,summary_nr,Identifies the accident OSHA-170 form,"Numeric, Length=9"
osha_accident_injury,Task Assigned,task_assigned,1=Task regularly assigned. 2=Task not regularly assigned,"Numeric, Length=1"
osha_inspection,Activity NR,activity_nr,Unique identifier for the inspection,"Numeric, Length:9"
osha_inspection,Address,site_address,Street address of site inspected,"Alphanumeric, Length:50"
osha_inspection,Advance Notice,adv_notice,Y/N/blank,"Alphanumeric, Length:1"
osha_inspection,Case Closed,close_case_date,Close date of inspection (yyyymmdd),"Numeric, Length=8"
osha_inspection,City,site_city,City of site inspected,"Alphanumeric, Length:30"
osha_inspection,Conf Closed,close_conf_date,Closing conference date (yyyymmdd),"Numeric, Length=8"
osha_inspection,Health Planning Guide Constr,health_const,Health planning guide construction (X/blank),"Alphanumeric, Length:1"
osha_inspection,Health Planning Guide Manuf,health_manuf,Health planning guide manufacturing (X/blank),"Alphanumeric, Length:1"
osha_inspection,Health Planning Guide Maritime,health_marit,Health planning guide maritime (X/blank),"Alphanumeric, Length:1"
osha_inspection,Host Establishment Key,host_est_key,Internal establishment key,"Alphanumeric, Length:17"
osha_inspection,Inspection Scope,insp_scope,A=Complete.B=Partial.C=Records.D=NoInspection,"Alphanumeric, Length:1"
osha_inspection,Inspection Type,insp_type,A=Accident. B=Complaint. C=Referral. D=Monitoring. E=Variance. F=FollowUp. G=Unprog Rel. H=Planned. I=Prog Related. J=Unprog Other. K=Prog Other. L=Other-L. M=Fat/Cat,"Alphanumeric, Length:1"
osha_inspection,Mailing Address City,mail_city,Mailing address city,"Alphanumeric, Length:30"
osha_inspection,Mailing Address State,mail_state,Mailing address state postal abbreviation,"Alphanumeric, Length:2"
osha_inspection,Mailing Address Zip Code,mail_zip,Mailing address postal zip code,"Numeric, Length:5"
osha_inspection,Mailing Street Address,mail_street,Mailing address street,"Alphanumeric, Length:50"
osha_inspection,Migrant,migrant,Migrant labor inspection (X/blank),"Alphanumeric, Length:1"
osha_inspection,NAICS,naics_code,The unique code number that is assigned to the NAICS.,"Numeric, Length:6"
osha_inspection,Name,estab_name,Establishment being inspected,"Alphanumeric, Length:50"
osha_inspection,Number in Establishment,nr_in_estab,Number of employees in establishment,"Numeric, Length:5"
osha_inspection,Open Date,open_date,Indicates when the inspection was started.,"Numeric, Length=8"
osha_inspection,Owner Code,owner_code,Used for owner=D only,"Numeric, Length:4"
osha_inspection,Owner Type,owner_type,A=Private. B=LocalGovt. C=StateGovt. D=Federal,"Alphanumeric, Length:1"
osha_inspection,Reporting ID,reporting_id,Identifies the OSHA federal or state reporting jurisdiction,"Numeric, Length:7"
osha_inspection,Safety/Health,safety_hlth,Safety/Health indicator (S=Safety. H=Health),"Alphanumeric, Length:1"
osha_inspection,Safety Planning Guide Const,safety_const,Safety planning guide construction (X/blank),"Alphanumeric, Length:1"
osha_inspection,Safety Planning Guide Manf,safety_manuf,Safety planning guide manufacturing (X/blank),"Alphanumeric, Length:1"
osha_inspection,Safety Planning Guide Maritime,safety_marit,Safety planning guide maritime (X/blank),"Alphanumeric, Length:1"
osha_inspection,SIC,sic_code,SIC code,"Numeric, Length:4"
osha_inspection,State,site_state,State postal abbreviation of site inspected,"Alphanumeric, Length:2"
osha_inspection,Union,union_status,Indicates union representation during inspection (Yes=Y/U/A. No=N/B/blank),"Alphanumeric, Length:1"
osha_inspection,Why No Inspection,why_no_insp,A=No Insp/Not Found.B=No Insp/Out of Business.C=No Insp/Process Inactive.D=No Insp/10 or Fewer Empe.E=No Insp/Denied Entry.F=No Insp/SIC not on PG.G=No Insp/Exempt Voluntary.H=No Insp/NonExempt Consult.I=No Insp/Other,"Alphanumeric, Length:1"
osha_inspection,Zip,site_zip,Postal zip code of site inspected,"Numeric, Length:5"
